epoch,batch_size,combination_number,dense_layers,epochs,loss,lr,lstm1_dropouts,lstm1_nodes,lstm_layers,optimizer,time_steps,val_loss
1,15,-1,"""[layers]""",60,0.16405405678919383,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
2,15,-1,"""[layers]""",60,0.164054055458733,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
3,15,-1,"""[layers]""",60,0.1640540575342519,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
4,15,-1,"""[layers]""",60,0.16405405811965465,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
5,15,-1,"""[layers]""",60,0.16405405641666482,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
6,15,-1,"""[layers]""",60,0.16405405593769892,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
7,15,-1,"""[layers]""",60,0.16405405668275697,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
8,15,-1,"""[layers]""",60,0.16405405678919383,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
9,15,-1,"""[layers]""",60,0.16405405774712561,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
10,15,-1,"""[layers]""",60,0.16405405646988325,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
11,15,-1,"""[layers]""",60,0.16405405593769892,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
12,15,-1,"""[layers]""",60,0.16405405588448047,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
13,15,-1,"""[layers]""",60,0.16405405684241225,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
14,15,-1,"""[layers]""",60,0.1640540568956307,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
15,15,-1,"""[layers]""",60,0.16405405838574683,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
16,15,-1,"""[layers]""",60,0.16405405684241225,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
17,15,-1,"""[layers]""",60,0.16405405646988325,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
18,15,-1,"""[layers]""",60,0.1640540575342519,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
19,15,-1,"""[layers]""",60,0.1640540578269533,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
20,15,-1,"""[layers]""",60,0.16405405615057264,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
21,15,-1,"""[layers]""",60,0.16405405524585928,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
22,15,-1,"""[layers]""",60,0.1640540582260915,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
23,15,-1,"""[layers]""",60,0.1640540575342519,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
24,15,-1,"""[layers]""",60,0.16405405593769892,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
25,15,-1,"""[layers]""",60,0.16405405710850443,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
26,15,-1,"""[layers]""",60,0.16405405748103347,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
27,15,-1,"""[layers]""",60,0.16405405774712561,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
28,15,-1,"""[layers]""",60,0.1640540568956307,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
29,15,-1,"""[layers]""",60,0.16405405593769892,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
30,15,-1,"""[layers]""",60,0.1640540565763201,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
31,15,-1,"""[layers]""",60,0.16405405795999936,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
32,15,-1,"""[layers]""",60,0.1640540567359754,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
33,15,-1,"""[layers]""",60,0.1640540565763201,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
34,15,-1,"""[layers]""",60,0.1640540572149413,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
35,15,-1,"""[layers]""",60,0.16405405662953854,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
36,15,-1,"""[layers]""",60,0.1640540572149413,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
37,15,-1,"""[layers]""",60,0.16405405700206757,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
38,15,-1,"""[layers]""",60,0.16405405678919383,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
39,15,-1,"""[layers]""",60,0.16405405668275697,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
40,15,-1,"""[layers]""",60,0.16405405631022793,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
41,15,-1,"""[layers]""",60,0.16405405636344636,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
42,15,-1,"""[layers]""",60,0.1640540575342519,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
43,15,-1,"""[layers]""",60,0.16405405678919383,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
44,15,-1,"""[layers]""",60,0.1640540575342519,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
45,15,-1,"""[layers]""",60,0.16405405615057264,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
46,15,-1,"""[layers]""",60,0.16405405774712561,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
47,15,-1,"""[layers]""",60,0.16405405468706574,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
48,15,-1,"""[layers]""",60,0.16405405668275697,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
49,15,-1,"""[layers]""",60,0.1640540580132178,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
50,15,-1,"""[layers]""",60,0.16405405817287308,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
51,15,-1,"""[layers]""",60,0.164054055086204,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
52,15,-1,"""[layers]""",60,0.1640540587050574,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
53,15,-1,"""[layers]""",60,0.16405405620379107,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
54,15,-1,"""[layers]""",60,0.16405405593769892,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
55,15,-1,"""[layers]""",60,0.16405405732137815,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
56,15,-1,"""[layers]""",60,0.16405405790678093,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
57,15,-1,"""[layers]""",60,0.16405405551195146,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
58,15,-1,"""[layers]""",60,0.1640540549797671,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
59,15,-1,"""[layers]""",60,0.164054057055286,0.3907213215870172,0.48308137160215314,80,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,1.184046134352684
0,5,-1,"""[layers]""",50,0.1273450297000818,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,1.0139134777219672
1,5,-1,"""[layers]""",50,0.1336128633795306,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.4641991716466452
2,5,-1,"""[layers]""",50,0.12662767582572998,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.1999589204788208
3,5,-1,"""[layers]""",50,0.13639693611301482,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.5460057297819539
4,5,-1,"""[layers]""",50,0.1337768084986601,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.24595680519154198
5,5,-1,"""[layers]""",50,0.13603848424507306,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,1.0499482688150907
6,5,-1,"""[layers]""",50,0.1292521351017058,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.5777400230106554
7,5,-1,"""[layers]""",50,0.13322085650637747,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,1.0754603304361041
8,5,-1,"""[layers]""",50,0.12012316228589043,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.3624210855678508
9,5,-1,"""[layers]""",50,0.12288384485756979,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.7822797416072143
10,5,-1,"""[layers]""",50,0.12608567374874838,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,1.0896890524186587
11,5,-1,"""[layers]""",50,0.12613852018024774,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.1223995745868275
12,5,-1,"""[layers]""",50,0.1349638597294688,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.9923187133512998
13,5,-1,"""[layers]""",50,0.12494174586609005,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,1.0953086191102077
14,5,-1,"""[layers]""",50,0.12933834722265602,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.40421916622864573
15,5,-1,"""[layers]""",50,0.1318163440003991,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.7194728121945733
16,5,-1,"""[layers]""",50,0.1369280987244565,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.8280375395950518
17,5,-1,"""[layers]""",50,0.12829926055390387,0.7121228167365842,0.34737294944208597,70,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,80,0.16757450341001937
