,date,close
394,2015-09-08,518.35
395,2015-09-09,529.95
396,2015-09-10,526.13
397,2015-09-11,529.44
398,2015-09-14,532.45
399,2015-09-15,527.92
400,2015-09-16,528.3
401,2015-09-17,546.97
402,2015-09-18,546.237
403,2015-09-21,549.78
404,2015-09-22,543.55
405,2015-09-23,541.21
406,2015-09-24,534.56
407,2015-09-25,542.8
408,2015-09-28,520.28
409,2015-09-29,511.48
410,2015-09-30,512.8
411,2015-10-01,520.8
412,2015-10-02,532.6
413,2015-10-05,545.91
414,2015-10-06,551.5
415,2015-10-07,542.0
416,2015-10-08,539.386
417,2015-10-09,541.79
418,2015-10-12,550.82
419,2015-10-13,553.2
420,2015-10-14,552.25
421,2015-10-15,563.0
422,2015-10-16,570.94
423,2015-10-19,579.0
424,2015-10-20,573.0
425,2015-10-21,565.25
426,2015-10-22,569.146
427,2015-10-23,619.45
428,2015-10-26,609.85
429,2015-10-27,614.71
430,2015-10-28,617.23
431,2015-10-29,627.54
432,2015-10-30,630.72
433,2015-11-02,628.63
434,2015-11-03,629.89
435,2015-11-04,645.93
436,2015-11-05,657.0
437,2015-11-06,662.26
438,2015-11-09,661.955
439,2015-11-10,660.0
440,2015-11-11,675.96
441,2015-11-12,675.64
442,2015-11-13,667.0
443,2015-11-16,649.99
444,2015-11-17,653.25
445,2015-11-18,664.88
446,2015-11-19,672.86
447,2015-11-20,668.87
448,2015-11-23,682.77
449,2015-11-24,675.8
450,2015-11-25,679.7
451,2015-11-27,680.99
452,2015-11-30,681.29
453,2015-12-01,681.0
454,2015-12-02,684.82
455,2015-12-03,682.79
456,2015-12-04,674.775
457,2015-12-07,675.46
458,2015-12-08,679.99
459,2015-12-09,679.0
460,2015-12-10,668.526
461,2015-12-11,657.88
462,2015-12-14,658.585
463,2015-12-15,671.5
464,2015-12-16,677.35
465,2015-12-17,682.5
466,2015-12-18,676.84
467,2015-12-21,669.9
468,2015-12-22,668.49
469,2015-12-23,666.597
470,2015-12-24,664.68
471,2015-12-28,675.5
472,2015-12-29,696.44
473,2015-12-30,695.49
474,2015-12-31,687.75
475,2016-01-04,657.715
476,2016-01-05,646.91
477,2016-01-06,639.79
478,2016-01-07,630.0
479,2016-01-08,624.14
480,2016-01-11,619.85
481,2016-01-12,625.99
482,2016-01-13,620.88
483,2016-01-14,602.25
484,2016-01-15,584.62
485,2016-01-19,584.0
486,2016-01-20,578.45
487,2016-01-21,588.81
488,2016-01-22,600.1
489,2016-01-25,608.5
490,2016-01-26,604.5
491,2016-01-27,603.39
492,2016-01-28,638.06
493,2016-01-29,593.0
494,2016-02-01,581.8
495,2016-02-02,571.56
496,2016-02-03,556.0
497,2016-02-04,538.99
498,2016-02-05,529.45
499,2016-02-08,493.5
500,2016-02-09,498.38
501,2016-02-10,504.66
502,2016-02-11,509.3
503,2016-02-12,516.75
504,2016-02-16,524.45
505,2016-02-17,537.48
506,2016-02-18,541.2
507,2016-02-19,535.95
508,2016-02-22,560.65
509,2016-02-23,556.91
510,2016-02-24,554.27
511,2016-02-25,559.39
512,2016-02-26,562.5
513,2016-02-29,564.81
514,2016-03-01,579.25
515,2016-03-02,585.0
516,2016-03-03,579.866
517,2016-03-04,581.4
518,2016-03-07,573.63
519,2016-03-08,571.35
520,2016-03-09,560.35
521,2016-03-10,567.0
522,2016-03-11,570.06
523,2016-03-14,576.89
524,2016-03-15,581.52
525,2016-03-16,581.32
526,2016-03-17,571.4
527,2016-03-18,562.33
528,2016-03-21,555.24
529,2016-03-22,562.76
530,2016-03-23,572.48
531,2016-03-24,583.55
532,2016-03-28,584.75
533,2016-03-29,595.85
534,2016-03-30,603.24
535,2016-03-31,600.75
536,2016-04-01,599.03
537,2016-04-04,599.5
538,2016-04-05,593.47
539,2016-04-06,602.39
540,2016-04-07,599.6
541,2016-04-08,597.86
542,2016-04-11,604.0
543,2016-04-12,604.06
544,2016-04-13,616.81
545,2016-04-14,624.38
546,2016-04-15,626.77
547,2016-04-18,637.64
548,2016-04-19,638.01
549,2016-04-20,636.55
550,2016-04-21,637.82
551,2016-04-22,628.25
552,2016-04-25,626.98
553,2016-04-26,626.755
554,2016-04-27,615.95
555,2016-04-28,626.8
556,2016-04-29,669.98
557,2016-05-02,685.5
558,2016-05-03,680.3
